Time x y psi vx steer throttle
----------------------------------------------------------
0.0000 50.0000 0.2000 1.5708 9.9890 -0.1341 -195.0320
0.0200 50.0013 0.3998 1.5699 9.9873 0.0878 199.6789
0.0400 50.0015 0.5995 1.5697 9.9542 -0.3671 -130.0812
0.0600 50.0035 0.7986 1.5683 9.9229 0.3487 -127.4255
0.0800 50.0037 0.9971 1.5682 9.8911 -0.4000 161.9160
0.1000 50.0058 1.1949 1.5668 9.8821 0.1944 461.2280
0.1200 50.0063 1.3925 1.5667 9.8631 -0.2999 485.3373
0.1400 50.0085 1.5898 1.5652 9.8229 -0.4000 -474.1114
0.1600 50.0126 1.7862 1.5626 9.7848 -0.4000 -336.8608
0.1800 50.0184 1.9819 1.5588 9.7838 0.0794 217.5635
0.2000 50.0232 2.1775 1.5560 9.7780 0.0995 -8.5990
0.2200 50.0268 2.3730 1.5541 9.7514 0.3921 500.0000
0.2400 50.0288 2.5681 1.5536 9.7189 0.3682 -80.2572
0.2600 50.0292 2.7625 1.5545 9.6927 -0.2493 -404.0622
0.2800 50.0315 2.9563 1.5542 9.6746 0.2907 489.3376
0.3000 50.0320 3.1498 1.5553 9.6466 0.3829 329.4406
0.3200 50.0309 3.3428 1.5577 9.6160 -0.2847 -500.0000
0.3400 50.0316 3.5351 1.5588 9.5961 0.2707 177.4294
0.3600 50.0305 3.7271 1.5612 9.5655 -0.4000 220.5256
0.3800 50.0312 3.9184 1.5623 9.5666 -0.0690 304.8821
0.4000 50.0328 4.1097 1.5628 9.5608 0.0043 -434.0823
0.4200 50.0343 4.3009 1.5632 9.5422 -0.2971 500.0000
0.4400 50.0375 4.4917 1.5623 9.5132 -0.4000 367.2263
0.4600 50.0423 4.6820 1.5602 9.4920 0.2508 -27.6873
0.4800 50.0455 4.8718 1.5593 9.4843 -0.0966 -252.9373
0.5000 50.0496 5.0614 1.5577 9.4543 -0.3338 -130.1452
0.5200 50.0554 5.2505 1.5550 9.4360 0.2079 -121.5298
0.5400 50.0596 5.4391 1.5534 9.4230 -0.1744 -88.2718
0.5600 50.0653 5.6275 1.5510 9.3947 -0.4000 402.3909
0.5800 50.0728 5.8153 1.5473 9.3626 0.4000 92.6113
0.6000 50.0787 6.0025 1.5451 9.3399 0.3465 500.0000
0.6200 50.0829 6.1892 1.5442 9.3017 0.4000 -318.6342
0.6400 50.0855 6.3752 1.5446 9.2796 -0.2059 -422.3159
0.6600 50.0898 6.5608 1.5441 9.2628 -0.2784 500.0000
0.6800 50.0959 6.7460 1.5423 9.2323 -0.4000 248.1721
0.7000 50.1039 6.9304 1.5395 9.2096 -0.3100 220.1737
0.7200 50.1136 7.1144 1.5355 9.1720 -0.3996 -335.4048
0.7400 50.1252 7.2976 1.5303 9.1461 0.4000 500.0000
0.7600 50.1352 7.4802 1.5266 9.1216 0.2187 -500.0000
0.7800 50.1437 7.6625 1.5243 9.1190 -0.0049 -208.4261
0.8000 50.1523 7.8446 1.5223 9.0980 0.2920 293.0359
0.8200 50.1593 8.0265 1.5217 9.0893 0.0618 -499.3573
0.8400 50.1659 8.2082 1.5217 9.0722 0.2599 323.4397
0.8600 50.1709 8.3896 1.5231 9.0368 -0.4000 -128.6227
0.8800 50.1778 8.5702 1.5234 9.0099 -0.2443 -500.0000
0.9000 50.1864 8.7502 1.5225 8.9755 0.4000 -31.5100
0.9200 50.1933 8.9296 1.5229 8.9740 -0.1216 449.6124
0.9400 50.2016 9.1089 1.5226 8.9450 -0.4000 370.6923
0.9600 50.2116 9.2875 1.5210 8.9257 -0.1823 -500.0000
0.9800 50.2231 9.4656 1.5185 8.9075 0.1715 -392.0209
1.0000 50.2331 9.6435 1.5172 8.8684 0.4000 -387.9211
1.0200 50.2414 9.8207 1.5172 8.8383 -0.4000 290.9662
1.0400 50.2515 9.9972 1.5160 8.8094 0.4000 370.9173
1.0600 50.2600 10.1732 1.5162 8.7745 -0.4000 -69.3985
1.0800 50.2702 10.3484 1.5152 8.7506 0.3592 500.0000
1.1000 50.2786 10.5232 1.5155 8.7427 -0.0412 -500.0000
1.1200 50.2878 10.6978 1.5154 8.7291 0.1904 49.7883
1.1400 50.2954 10.8722 1.5165 8.6949 0.3979 -40.0401
1.1600 50.3014 11.0460 1.5188 8.6692 -0.3546 313.9161
1.1800 50.3090 11.2193 1.5199 8.6651 0.1644 500.0000
1.2000 50.3153 11.3925 1.5219 8.6433 0.2334 -299.1023
1.2200 50.3199 11.5653 1.5250 8.6313 0.2485 500.0000
1.2400 50.3230 11.7380 1.5292 8.6167 0.2148 -72.7195
1.2600 50.3245 11.9104 1.5343 8.5845 -0.3889 -43.5745
1.2800 50.3276 12.0821 1.5380 8.5659 -0.3012 500.0000
1.3000 50.3322 12.2534 1.5403 8.5423 -0.3095 210.0381
1.3200 50.3384 12.4241 1.5411 8.5075 -0.4000 -58.9177
1.3400 50.3462 12.5941 1.5406 8.4758 0.3818 47.8036
1.3600 50.3520 12.7635 1.5412 8.4408 -0.4000 -76.7206
