Time x y psi vx steer throttle
----------------------------------------------------------
0.0000 50.0000 0.2000 1.5708 9.9909 -0.3620 1617.8962
0.0200 50.0017 0.3998 1.5696 9.9847 -0.0375 -434.8467
0.0400 50.0037 0.5995 1.5681 10.0134 -0.1103 2535.7983
0.0600 50.0067 0.7998 1.5660 10.0214 0.1900 1708.4609
0.0800 50.0082 1.0002 1.5651 10.0140 0.0144 -546.5916
0.1000 50.0094 1.2005 1.5644 10.0218 0.1130 1074.5321
0.1200 50.0096 1.4009 1.5646 10.0106 -0.2197 480.7539
0.1400 50.0114 1.6011 1.5637 9.9743 -0.2631 -1090.9485
0.1600 50.0150 1.8006 1.5617 9.9512 -0.3821 680.7684
0.1800 50.0203 1.9996 1.5584 9.9657 0.2773 2788.2126
0.2000 50.0241 2.1988 1.5564 9.9705 0.0266 402.5274
0.2200 50.0274 2.3982 1.5550 9.9391 -0.7139 1886.0784
0.2400 50.0325 2.5970 1.5523 9.9125 -0.6568 1931.9250
0.2600 50.0395 2.7951 1.5486 9.9073 0.2199 935.6746
0.2800 50.0450 2.9932 1.5462 9.8798 0.3044 -112.2324
0.3000 50.0488 3.1907 1.5452 9.8652 -0.0586 -945.2063
0.3200 50.0535 3.3880 1.5438 9.8631 0.0231 -124.5808
0.3400 50.0580 3.5852 1.5429 9.9001 -0.0594 2925.3550
0.3600 50.0633 3.7831 1.5416 9.9241 0.1060 2236.9014
0.3800 50.0676 3.9816 1.5413 9.9148 0.3877 1756.9326
0.4000 50.0704 4.1799 1.5423 9.9328 -0.0460 1464.3932
0.4200 50.0740 4.3785 1.5428 9.9569 -0.3666 4036.4602
0.4400 50.0794 4.5776 1.5423 9.9122 0.8000 1317.5569
0.4600 50.0830 4.7758 1.5430 9.8971 0.1757 -223.4813
0.4800 50.0854 4.9738 1.5448 9.9185 0.1831 2507.9739
0.5000 50.0864 5.1722 1.5476 9.9534 0.1012 2846.6733
0.5200 50.0867 5.3713 1.5509 9.9317 0.4040 882.0110
0.5400 50.0852 5.5700 1.5555 9.9369 0.0007 295.1612
0.5600 50.0843 5.7688 1.5595 9.9283 0.1527 -86.3081
0.5800 50.0821 5.9674 1.5641 9.8955 0.8000 2096.9414
0.6000 50.0781 6.1653 1.5699 9.8801 0.1164 -995.7604
0.6200 50.0732 6.3629 1.5759 9.8695 -0.8000 3600.9761
0.6400 50.0697 6.5603 1.5805 9.8902 0.1769 2336.6040
0.6600 50.0647 6.7580 1.5857 9.8969 -0.2864 2262.0774
0.6800 50.0611 6.9560 1.5895 9.8617 0.1136 -2259.2251
0.7000 50.0563 7.1531 1.5936 9.8652 0.1758 1107.8710
