Time x y psi vx steer throttle
----------------------------------------------------------
0.0000 50.0000 0.2000 1.5708 9.9989 0.0299 -39.2752
0.0200 49.9996 0.4000 1.5711 9.9889 0.0125 -743.9875
0.0400 49.9991 0.5998 1.5714 9.9722 0.1313 -660.7051
0.0600 49.9974 0.7992 1.5726 9.8953 -0.9032 -647.3201
0.0800 49.9975 0.9971 1.5726 9.8540 0.4023 -542.0284
0.1000 49.9957 1.1942 1.5738 9.8297 -0.2353 -363.6524
0.1200 49.9956 1.3908 1.5737 9.8375 -0.0516 692.4936
0.1400 49.9961 1.5875 1.5732 9.8295 0.0463 -491.5340
0.1600 49.9959 1.7841 1.5732 9.7903 0.4665 0.7191
0.1800 49.9939 1.9799 1.5744 9.7403 -0.7029 469.4680
0.2000 49.9937 2.1747 1.5743 9.7171 -0.1398 -1078.9691
0.2200 49.9947 2.3691 1.5733 9.6961 0.2853 239.6670
0.2400 49.9940 2.5630 1.5735 9.7058 0.0173 738.4137
0.2600 49.9931 2.7571 1.5739 9.6543 -0.6146 -87.9211
0.2800 49.9939 2.9502 1.5730 9.5816 0.8871 -388.8810
0.3000 49.9930 3.1418 1.5733 9.5284 0.7886 643.9770
0.3200 49.9903 3.3324 1.5749 9.4612 -1.0142 490.7191
0.3400 49.9894 3.5216 1.5752 9.4611 -0.0246 26.2642
0.3600 49.9888 3.7108 1.5753 9.3869 1.0044 -46.1883
0.3800 49.9864 3.8986 1.5766 9.3993 -0.0345 1000.1832
0.4000 49.9846 4.0865 1.5774 9.3512 0.5225 -344.2224
0.4200 49.9810 4.2735 1.5795 9.3049 0.4534 -630.4355
0.4400 49.9757 4.4596 1.5827 9.3025 0.1154 124.0923
0.4600 49.9694 4.6456 1.5865 9.2596 0.4779 -268.7143
0.4800 49.9613 4.8307 1.5915 9.1728 -1.2720 -354.9205
0.5000 49.9548 5.0140 1.5950 9.1357 0.4238 -126.7987
0.5200 49.9464 5.1966 1.5996 9.1005 -0.3754 -317.8073
0.5400 49.9396 5.3785 1.6028 9.0754 0.2331 -548.5826
0.5600 49.9310 5.5598 1.6069 9.0659 0.1344 -276.2617
0.5800 49.9212 5.7409 1.6115 9.0464 -0.3258 575.1636
0.6000 49.9129 5.9216 1.6147 8.9827 0.7330 -412.6015
0.6200 49.9027 6.1010 1.6188 8.9159 1.0547 635.9500
0.6400 49.8905 6.2790 1.6239 8.9058 0.0881 -694.1845
0.6600 49.8777 6.4566 1.6291 8.8925 0.2305 191.0587
0.6800 49.8631 6.6340 1.6351 8.8617 0.3421 -260.9156
0.7000 49.8465 6.8105 1.6420 8.7767 1.4727 4.7104
0.7200 49.8280 6.9851 1.6498 8.7241 0.8134 618.9413
0.7400 49.8074 7.1585 1.6586 8.6562 -0.8939 -221.0058
0.7600 49.7883 7.3306 1.6657 8.5946 -0.8648 252.5512
0.7800 49.7705 7.5016 1.6711 8.5741 -0.3386 603.1276
0.8000 49.7541 7.6723 1.6749 8.4785 -1.4952 -645.5887
0.8200 49.7392 7.8413 1.6770 8.4558 0.1832 -665.7092
0.8400 49.7224 8.0095 1.6798 8.3954 -0.7904 129.6609
0.8600 49.7071 8.1768 1.6811 8.3806 0.2522 484.4600
0.8800 49.6898 8.3435 1.6832 8.3049 1.8535 603.5874
0.9000 49.6706 8.5085 1.6863 8.2814 -0.2136 -455.1648
0.9200 49.6528 8.6732 1.6879 8.2025 -1.0462 -255.0691
0.9400 49.6367 8.8364 1.6880 8.1797 -0.2239 -399.3456
0.9600 49.6219 8.9994 1.6868 8.1041 -0.9124 -525.9745
0.9800 49.6089 9.1611 1.6842 8.0129 1.5242 -364.2279
1.0000 49.5941 9.3207 1.6826 7.9896 -0.4098 836.2891
1.0200 49.5811 9.4800 1.6798 7.9798 0.1271 -87.9368
1.0400 49.5666 9.6390 1.6779 7.9112 -1.3113 1132.5414
1.0600 49.5539 9.7968 1.6748 7.8293 -1.5149 333.2353
1.0800 49.5432 9.9531 1.6705 7.7628 -0.9905 384.9849
1.1000 49.5345 10.1082 1.6650 7.7058 0.8066 309.5205
1.1200 49.5242 10.2621 1.6608 7.6563 -0.7220 542.1936
1.1400 49.5159 10.4151 1.6556 7.5882 0.8834 -165.2873
1.1600 49.5062 10.5666 1.6517 7.5190 2.1621 192.6324
1.1800 49.4951 10.7165 1.6494 7.4511 -1.0491 562.6513
1.2000 49.4860 10.8653 1.6459 7.3727 1.9720 111.1623
1.2200 49.4756 11.0124 1.6439 7.2892 -1.4073 182.4838
1.2400 49.4672 11.1580 1.6409 7.2320 2.3734 230.4371
1.2600 49.4573 11.3023 1.6393 7.2352 0.0186 263.7363
1.2800 49.4472 11.4466 1.6381 7.1586 1.1098 116.3725
1.3000 49.4357 11.5893 1.6384 7.1436 -0.2688 577.2421
1.3200 49.4260 11.7319 1.6375 7.0804 -0.6883 -588.1882
1.3400 49.4182 11.8733 1.6355 7.0383 0.5735 374.8940
1.3600 49.4089 12.0137 1.6349 7.0122 2.7563 499.1320
1.3800 49.3980 12.1536 1.6356 6.9649 -0.5329 -229.5323
1.4000 49.3890 12.2926 1.6351 6.9503 -0.1567 -307.1393
1.4200 49.3814 12.4314 1.6337 6.9461 -0.1156 107.2407
1.4400 49.3749 12.5702 1.6317 6.9527 -0.0345 480.2004
1.4600 49.3684 12.7091 1.6297 6.8764 1.0133 -187.7996
1.4800 49.3604 12.8464 1.6291 6.8426 0.4199 130.7626
1.5000 49.3507 12.9829 1.6298 6.8326 0.0026 -759.6306
1.5200 49.3414 13.1192 1.6304 6.7487 -1.2490 -90.3412
1.5400 49.3339 13.2540 1.6298 6.6736 -1.9550 426.4230
1.5600 49.3283 13.3874 1.6280 6.6109 0.8958 384.1980
1.5800 49.3210 13.5194 1.6274 6.5410 0.9868 213.0923
1.6000 49.3122 13.6499 1.6282 6.4915 -0.5567 -264.4690
1.6200 49.3052 13.7796 1.6277 6.4672 0.2946 59.6064
1.6400 49.2965 13.9086 1.6285 6.4131 -2.4696 10.5291
1.6600 49.2896 14.0367 1.6281 6.3903 0.2722 14.6947
1.6800 49.2810 14.1642 1.6289 6.3462 0.6021 389.0993
1.7000 49.2708 14.2908 1.6310 6.3052 0.6072 636.3519
1.7200 49.2588 14.4164 1.6343 6.2884 -0.2345 186.3294
1.7400 49.2486 14.5417 1.6363 6.2221 0.9901 480.1902
1.7600 49.2366 14.6657 1.6394 6.2239 0.0011 80.8621
1.7800 49.2252 14.7897 1.6420 6.1687 -0.6243 -341.6942
1.8000 49.2155 14.9127 1.6433 6.0926 -1.6023 808.9910
1.8200 49.2076 15.0343 1.6432 6.0254 2.0233 832.1304
1.8400 49.1979 15.1544 1.6443 5.9831 0.4937 -80.1811
1.8600 49.1865 15.2735 1.6466 5.9291 -0.7934 586.9342
1.8800 49.1768 15.3917 1.6475 5.8809 -0.5747 -66.5345
1.9000 49.1689 15.5091 1.6471 5.8318 -0.5331 -359.6678
1.9200 49.1627 15.6256 1.6454 5.8311 0.0046 -57.1379
1.9400 49.1559 15.7420 1.6441 5.8043 -0.4083 573.8212
1.9600 49.1510 15.8581 1.6415 5.7556 0.4988 -560.8648
1.9800 49.1444 15.9730 1.6403 5.6910 -2.1421 641.9550
2.0000 49.1397 16.0868 1.6378 5.6831 0.0378 -484.7913
2.0200 49.1341 16.2003 1.6360 5.6119 0.7431 -945.5771
2.0400 49.1269 16.3123 1.6356 5.5208 -1.6317 -305.9309
2.0600 49.1216 16.4226 1.6339 5.4964 0.3595 461.8202
2.0800 49.1147 16.5323 1.6336 5.4233 2.2576 -428.8501
2.1000 49.1062 16.6405 1.6346 5.3266 -1.4628 -773.2576
2.1200 49.0996 16.7468 1.6344 5.2847 0.4667 -198.0054
2.1400 49.0913 16.8522 1.6354 5.2853 -0.0952 461.0701
2.1600 49.0842 16.9576 1.6356 5.2555 0.4241 453.4600
2.1800 49.0754 17.0624 1.6370 5.1838 1.0758 366.0183
2.2000 49.0649 17.1656 1.6397 5.1410 0.6672 789.4413
2.2200 49.0528 17.2678 1.6436 5.0572 -1.2344 -183.1178
2.2400 49.0423 17.3685 1.6461 4.9665 -1.5500 -301.6650
2.2600 49.0337 17.4674 1.6474 4.9144 0.7889 727.0635
2.2800 49.0233 17.5652 1.6497 4.8592 0.7649 356.3183
2.3000 49.0112 17.6618 1.6533 4.8560 0.0647 -371.7649
2.3200 48.9993 17.7582 1.6565 4.7893 0.8523 -129.8959
2.3400 48.9856 17.8532 1.6609 4.7068 -1.2070 -167.6835
2.3600 48.9737 17.9466 1.6639 4.6555 0.7286 467.9349
2.3800 48.9600 18.0389 1.6680 4.6195 -0.3348 -633.5464
2.4000 48.9479 18.1305 1.6707 4.5585 -0.8386 260.1967
2.4200 48.9376 18.2211 1.6721 4.5105 0.5871 14.5740
2.4400 48.9255 18.3106 1.6746 4.4319 -1.2106 198.8471
2.4600 48.9152 18.3986 1.6757 4.3559 1.1909 362.0785
2.4800 48.9033 18.4849 1.6780 4.3073 0.5285 -374.7283
2.5000 48.8896 18.5701 1.6815 4.3171 0.0145 627.2944
2.5200 48.8767 18.6555 1.6843 4.3054 0.1311 -602.9917
2.5400 48.8631 18.7407 1.6874 4.2317 2.1436 -76.0319
2.5600 48.8478 18.8241 1.6916 4.1869 0.5740 106.2302
2.5800 48.8308 18.9064 1.6970 4.1401 -0.5465 -256.2249
2.6000 48.8154 18.9879 1.7009 4.0671 0.8812 -506.1144
2.6200 48.7984 19.0677 1.7060 4.0270 0.4317 -449.4937
2.6400 48.7796 19.1464 1.7122 3.9695 -0.8653 475.7195
2.6600 48.7625 19.2242 1.7169 3.9232 0.5721 -40.1322
2.6800 48.7437 19.3007 1.7227 3.8935 -0.3583 -92.4672
2.7000 48.7265 19.3769 1.7271 3.8455 0.5770 -126.2392
2.7200 48.7075 19.4517 1.7326 3.7652 1.3298 186.8531
2.7400 48.6869 19.5247 1.7392 3.7401 0.4518 587.7798
2.7600 48.6645 19.5967 1.7467 3.6628 1.2749 182.4460
2.7800 48.6405 19.6669 1.7553 3.6335 0.4589 -177.2210
2.8000 48.6150 19.7360 1.7647 3.5477 -1.8431 -584.6488
2.8200 48.5912 19.8037 1.7726 3.4606 1.6263 -311.3719
2.8400 48.5658 19.8691 1.7815 3.4023 1.0873 1009.0779
2.8600 48.5387 19.9329 1.7914 3.4067 -0.0244 1.0929
2.8800 48.5130 19.9970 1.7998 3.3616 0.5937 -112.8697
2.9000 48.4856 20.0596 1.8092 3.2958 2.1139 225.8871
2.9200 48.4566 20.1204 1.8195 3.2737 0.4796 -422.1525
2.9400 48.4264 20.1803 1.8303 3.2353 -0.6257 361.3085
2.9600 48.3978 20.2396 1.8396 3.1572 1.4557 201.9932
2.9800 48.3677 20.2968 1.8499 3.0939 -2.1193 302.7651
3.0000 48.3394 20.3531 1.8586 3.1015 0.0859 -361.7729
3.0200 48.3124 20.4098 1.8659 3.0172 1.2784 -327.7334
3.0400 48.2840 20.4642 1.8742 2.9699 0.7353 487.7104
3.0600 48.2540 20.5171 1.8836 2.9424 -0.4215 163.0742
3.0800 48.2257 20.5698 1.8915 2.8826 1.0260 777.3445
3.1000 48.1959 20.6206 1.9004 2.8187 0.9868 253.9708
3.1200 48.1646 20.6695 1.9103 2.7465 -1.9669 108.0837
3.1400 48.1353 20.7174 1.9188 2.7524 0.3927 331.4560
3.1600 48.1056 20.7652 1.9272 2.6770 1.7520 408.6588
3.1800 48.0746 20.8108 1.9366 2.6815 -0.1528 860.0311
3.2000 48.0450 20.8569 1.9446 2.6946 0.1527 -258.4364
3.2200 48.0167 20.9037 1.9513 2.6250 2.1954 -148.9865
3.2400 47.9871 20.9484 1.9590 2.5431 -0.9788 -1042.3076
3.2600 47.9596 20.9921 1.9654 2.4617 1.6327 204.1447
3.2800 47.9310 21.0335 1.9728 2.4822 0.3658 1076.5867
3.3000 47.9022 21.0752 1.9800 2.4604 -0.2616 -223.4937
3.3200 47.8751 21.1171 1.9858 2.4059 0.6697 -202.3480
3.3400 47.8467 21.1572 1.9928 2.4184 0.0473 369.3910
3.3600 47.8197 21.1981 1.9983 2.3985 0.4481 570.8530
3.3800 47.7915 21.2379 2.0048 2.3098 1.1892 -814.9789
3.4000 47.7624 21.2754 2.0123 2.2985 -0.1586 -117.0595
3.4200 47.7348 21.3132 2.0184 2.2082 -1.5654 -444.3731
3.4400 47.7095 21.3500 2.0232 2.1189 1.2465 -623.8201
3.4600 47.6834 21.3844 2.0292 2.0318 1.3632 -326.6477
3.4800 47.6563 21.4164 2.0363 1.9551 -1.4908 496.8689
3.5000 47.6314 21.4476 2.0419 1.8883 -0.8498 -273.9865
3.5200 47.6086 21.4784 2.0463 1.8224 -1.0356 571.2273
3.5400 47.5879 21.5087 2.0493 1.7222 -1.3799 -1168.0706
3.5600 47.5696 21.5381 2.0511 1.6557 0.8812 34.0603
3.5800 47.5505 21.5654 2.0541 1.5759 1.5381 500.5180
3.6000 47.5304 21.5905 2.0584 1.5706 -0.0856 66.5930
3.6200 47.5119 21.6162 2.0612 1.4994 -0.8146 -633.4686
3.6400 47.4956 21.6415 2.0629 1.4016 -1.4893 -849.0364
3.6600 47.4818 21.6659 2.0632 1.3623 0.4146 -312.5574
3.6800 47.4668 21.6888 2.0649 1.2833 1.7505 491.7790
3.7000 47.4510 21.7094 2.0678 1.2212 0.8304 123.4745
3.7200 47.4342 21.7281 2.0718 1.1554 -0.8004 -332.8883
3.7400 47.4195 21.7464 2.0745 1.1654 0.0679 290.7733
3.7600 47.4061 21.7656 2.0761 1.1228 -0.4838 -170.8711
3.7800 47.3947 21.7850 2.0764 1.0683 0.5650 -587.3233
3.8000 47.3824 21.8026 2.0780 0.9743 -1.4224 -607.3619
3.8200 47.3724 21.8194 2.0783 0.8856 1.8201 -313.3487
3.8400 47.3619 21.8338 2.0799 0.8594 0.3776 -154.3428
3.8600 47.3503 21.8470 2.0824 0.7959 0.9954 684.9522
3.8800 47.3379 21.8583 2.0861 0.7585 -0.4587 13.1429
3.9000 47.3272 21.8696 2.0884 0.7627 0.1183 -470.6761
3.9200 47.3181 21.8820 2.0896 0.7077 -0.7052 102.7642
3.9400 47.3110 21.8943 2.0895 0.7175 -0.0909 1055.0504
3.9600 47.3048 21.9072 2.0889 0.6498 -2.2503 11.2781
3.9800 47.3007 21.9198 2.0870 0.5779 -0.9147 -230.9943
4.0000 47.2990 21.9322 2.0840 0.4962 -1.2492 19.7361
4.0200 47.2995 21.9438 2.0796 0.4296 0.8722 -83.2637
4.0400 47.2996 21.9538 2.0769 0.3429 1.2557 -340.2928
4.0600 47.2982 21.9608 2.0746 0.2580 1.6535 131.6778
4.0800 47.2971 21.9661 2.0747 0.1791 1.8756 318.2201
4.1000 47.2942 21.9686 2.0749 0.1970 0.2921 41.8007
4.1200 47.2933 21.9726 2.0754 0.1643 0.2619 -753.7700
4.1400 47.2899 21.9745 2.0759 0.1985 0.5534 342.7436
4.1600 47.2885 21.9782 2.0768 0.1916 -0.2236 929.0786
4.1800 47.2874 21.9820 2.0753 0.1426 -0.8081 369.9096
4.2000 47.2894 21.9863 2.0739 0.1203 0.1731 -567.5735
4.2200 47.2888 21.9888 2.0726 0.0471 -1.0313 -20.6722
4.2400 47.2916 21.9914 2.0712 0.0658 -0.2557 -266.3881
4.2600 47.2915 21.9928 2.0699 -0.0068 1.0445 202.8973
4.2800 47.2918 21.9928 2.0711 -0.0824 -1.7782 707.5997
4.3000 47.2955 21.9930 2.0722 -0.1730 1.6929 -294.3559
4.3200 47.2998 21.9914 2.0759 -0.2558 1.1157 -293.1003
4.3400 47.3046 21.9882 2.0821 -0.3481 1.9237 -729.3295
4.3600 47.3100 21.9833 2.0908 -0.3251 -0.3597 -502.2314
4.3800 47.3149 21.9786 2.1020 -0.4122 1.7022 28.1079
4.4000 47.3203 21.9722 2.1158 -0.4915 -1.4839 631.9003
4.4200 47.3292 21.9661 2.1295 -0.5178 0.2845 93.9192
4.4400 47.3381 21.9594 2.1457 -0.5227 -0.0918 -724.3947
4.4600 47.3467 21.9525 2.1645 -0.6115 -1.4280 58.3220
4.4800 47.3588 21.9460 2.1832 -0.7055 -1.7498 -164.4110
4.5000 47.3746 21.9398 2.2020 -0.7280 0.1715 88.0397
4.5200 47.3902 21.9332 2.2232 -0.7798 0.5382 156.3617
4.5400 47.4061 21.9257 2.2470 -0.7897 -0.9369 644.8014
4.5600 47.4232 21.9192 2.2718 -0.8541 0.8549 955.1719
4.5800 47.4408 21.9116 2.2992 -0.9159 0.6417 158.0945
4.6000 47.4587 21.9031 2.3291 -1.0097 -2.0504 -368.5831
4.6200 47.4801 21.8956 2.3589 -1.0660 0.5608 410.2796
4.6400 47.5018 21.8872 2.3913 -1.1642 1.8357 85.3699
4.6600 47.5245 21.8774 2.4262 -1.2724 -1.6373 -503.5045
4.6800 47.5507 21.8688 2.4611 -1.3633 1.0420 226.8781
4.7000 47.5779 21.8589 2.4985 -1.4265 0.5051 -255.2430
4.7200 47.6055 21.8483 2.5384 -1.4392 -0.9404 -103.0096
4.7400 47.6339 21.8387 2.5797 -1.4499 -0.1895 -766.3916
4.7600 47.6620 21.8289 2.6234 -1.4184 -0.4412 666.2117
4.7800 47.6891 21.8192 2.6697 -1.4282 -0.0648 -285.6979
4.8000 47.7161 21.8092 2.7185 -1.4467 0.1301 79.1175
4.8200 47.7431 21.7988 2.7698 -1.4886 0.2898 -966.5314
4.8400 47.7708 21.7878 2.8236 -1.4755 -0.1115 209.7387
4.8600 47.7981 21.7765 2.8799 -1.5507 1.1350 -163.5406
4.8800 47.8270 21.7645 2.9387 -1.4982 -0.5258 -263.0781
4.9000 47.8551 21.7522 3.0000 -1.5052 0.2802 -169.7861
4.9200 47.8837 21.7396 3.0639 -1.4408 -0.2738 1028.2606
4.9400 47.9116 21.7266 3.1302 -1.4775 1.1272 460.4055
4.9600 47.9410 21.7132 3.1990 -1.4884 0.8911 889.5380
4.9800 47.9716 21.6995 3.2704 -1.5136 -1.8689 225.6911
5.0000 48.0035 21.6891 3.3417 -1.5193 0.8030 421.5366
5.0200 48.0366 21.6785 3.4156 -1.4214 -0.4288 -67.7916
5.0400 48.0693 21.6674 3.4920 -1.2692 -1.0904 401.1084
5.0600 48.1006 21.6555 3.5708 -1.1277 -0.7018 -90.2175
5.0800 48.1313 21.6428 3.6521 -0.9618 -1.1839 -371.1404
5.1000 48.1609 21.6293 3.7358 -0.9398 1.4374 -120.5541
